Rank,Corridor Name,Road Type,Number of Links,Total Passenger Count Equivalent,Total DAC-Originating Passenger Count Equivalent,avg_composite,p75_composite,Share of Passenger Count Equivalent Originating from DACs ,pct_dac_pce,pct_dac_share,Corridor Composite DAC Score
51,Daisy Avenue,residential,8,6309,6063,72.37954927,95.78485094013382,96%,93.36445481827276,94.42036234300323,93.89
52,Durfee Avenue,tertiary,31,12681,11471,77.26323396547826,91.34772003976045,90%,95.86528843,91.83061020340114,93.85
53,Norwalk Boulevard,tertiary,56,6284,6031,56.318379267057196,77.37100829456135,96%,93.33111037012337,94.36478826275425,93.85
54,Nadeau Street,secondary,52,13443,12060,76.73845883978947,84.98667691305329,90%,95.99866622207402,91.68611759,93.84
55,Valerio Street,residential,82,16576,14681,65.22598925881505,66.91306372528547,89%,96.47660331221518,91.13037679226409,93.80
56,East 94th Street,residential,6,4452,4431,76.65515340344312,94.98170685867504,100%,91.71946204290319,95.87640324552629,93.80
57,City Terrace Drive,tertiary,13,5002,4884,68.35906602815228,94.18879524211266,98%,92.29743248,95.22062909858842,93.76
58,West Gage Avenue,secondary,40,25879,22237,84.78601618817711,93.10880033746253,86%,97.38801822829832,90.13004334778259,93.76
59,South Central Avenue,residential,8,5766,5550,79.07098093837969,95.30789278047396,96%,92.98655107257974,94.52039568745137,93.75
60,East Manchester Boulevard,primary,22,38479,32380,80.83758325505529,93.49361411,84%,97.98821829498722,89.48538401689451,93.74
61,Jackson Street,tertiary,22,9707,8987,81.45296445329024,92.52403585,93%,94.96498832944314,92.50861398243859,93.74
62,Somerset Boulevard,secondary,87,16850,14834,71.89114289552018,73.80488986526558,88%,96.50994776036457,90.90808047,93.71
63,East South Street,secondary,54,14710,13041,71.19736313324108,87.1246356,89%,96.22096254306992,91.16372124041348,93.69
64,Orr and Day Road,secondary,28,12315,11031,79.80720753348075,89.22625859318225,90%,95.67633655662999,91.63054351450484,93.65
65,East Torrance Boulevard,residential,6,4800,4689,80.76401012387548,95.08298738,98%,92.06402134044681,95.23730132266311,93.65
66,Los Angeles Street,secondary,37,21807,18794,79.64254777426675,86.15651912426807,86%,97.03234411,90.19673224408136,93.61
67,La Fayette Road,residential,6,4250,4214,80.75875467421781,94.65870553054286,99%,91.39713237745916,95.76525508502834,93.58
68,Lynwood Road,unclassified,6,2940,2940,80.27306063466342,93.41091908417351,100%,89.16305435145048,97.98821829498722,93.58
69,Grammar Place,residential,14,5703,5463,74.01338752462654,92.22290903,96%,92.89763254418139,94.20918083805712,93.55
70,South Saint Andrews Place,residential,42,7368,6905,64.97510299090276,82.30430932950208,94%,93.96465488496165,93.06435478,93.51
71,Long Beach Boulevard,primary,339,314063,243119,74.58495161,86.82998237510128,77%,99.76658886295432,87.18461709458708,93.48
72,Syracuse Avenue,residential,22,8832,8136,75.17433158653704,91.80316914055648,92%,94.58708458375014,92.33077692564187,93.46
73,West Florence Avenue,primary,104,186209,145203,86.45201969902097,91.56698714468288,78%,99.51094809380905,87.36245415,93.44
74,Beaty Avenue,tertiary,14,4450,4348,62.14523477391324,87.95346525556104,98%,91.58608425030566,95.27620317883739,93.43
75,West Imperial Highway,primary,144,118454,93206,78.32321775288574,90.17714693819592,79%,99.25530732466378,87.55140602423029,93.40
76,Howe Street,residential,12,4500,4388,76.41093161372237,93.62809793095384,98%,91.63054351450484,95.13171057019007,93.38
77,Rath Street,residential,6,4259,4169,76.64673076226991,94.46736887827126,98%,91.34155829721018,95.33177725908637,93.34
78,Oso Avenue,residential,47,8635,7878,67.53073605,63.87772830926268,91%,94.47593642,92.09736578859619,93.29
79,Moss Avenue,residential,4,4104,4032,82.99077198726998,95.72747605,98%,91.04701567189063,95.50961431588307,93.28
80,Hallett Avenue,residential,6,2667,2667,80.29509175806275,93.01916185671207,100%,88.50172279648771,97.98821829498722,93.24
81,Maine Avenue,secondary,38,10555,9380,68.04735883704684,87.54066882731775,89%,95.15394020228966,91.29709903301101,93.23
82,South Hoover Street,tertiary,190,15507,13301,66.61535450050404,70.49667131652147,86%,96.24319218,90.08558408358341,93.16
83,West 111th Street,tertiary,8,5141,4905,76.06227081,92.76763116349392,95%,92.34189174169167,93.98688451706124,93.16
84,West Beverly Boulevard,secondary,88,41166,33240,77.63428543982893,82.67058980762967,81%,98.03267756,88.27386906746693,93.15
85,West 120th Street,tertiary,25,9785,8739,75.92694437715613,87.67301218707452,89%,94.80938090474602,91.47493608980771,93.14
86,East Century Boulevard,secondary,41,13514,11717,77.15042711500313,80.51529857914916,87%,95.93197732577526,90.34122485272869,93.14
87,McNab Avenue,tertiary,12,4183,4079,70.59086916088219,67.03392166526058,98%,91.12481938423919,95.14282538623986,93.13
88,Multnomah Street,tertiary,10,4785,4590,73.22257908233584,93.11626586,96%,91.93064354784927,94.30921418250527,93.12
89,Duane Way,residential,27,4775,4577,67.84473816181928,66.59580511,96%,91.90285650772479,94.25364010225631,93.08
90,Vanowen Street,secondary,353,220964,166552,71.39920642877782,87.26705480424668,75%,99.65544070245637,86.49549849949983,93.08
91,South Boyle Avenue,secondary,22,21272,17747,74.22984090510424,91.32140798716976,83%,96.91008113815717,89.24085806379904,93.08
92,North Pannes Avenue,residential,8,4139,4032,81.22682033462249,93.46187258,97%,91.04701567189063,95.08725130599089,93.07
93,South Eastern Avenue,secondary,68,80117,61898,71.93332535700615,81.49970347,77%,98.95520729131933,87.16238746,93.06
94,East Redondo Beach Boulevard,secondary,18,9982,8854,80.70671064074257,92.30795333996008,89%,94.85384017,91.18595087251306,93.02
95,Lavell Drive,residential,10,7373,6747,71.83887835478671,92.27553313230369,92%,93.83127709236412,92.18628431699454,93.01
96,President Avenue,tertiary,30,10590,9302,68.05517038794268,87.36640368535797,88%,95.12059575414027,90.81916194286984,92.97
97,Thornburn Street,residential,6,3946,3845,87.77697263824966,92.38224312336594,97%,90.84139157496944,95.09836612204067,92.97
98,Gale Avenue,secondary,50,8006,7198,55.10439620104079,84.65568799752751,90%,94.10914749360899,91.76392130710236,92.94
99,West 7th Street,primary,4,5013,4757,90.76018861147539,90.83265117,95%,92.15293986884518,93.66455485161721,92.91
100,East Myrrh Street,tertiary,48,9914,8737,71.87958981737486,80.01693577353258,88%,94.79826608869624,90.94142491941759,92.87
101,Adoree Street,secondary,3,2403,2403,92.62573402273695,92.62573402273696,100%,87.71257085695233,97.98821829498722,92.85
102,Sherman Way,primary,265,291628,216321,80.63284465991416,87.30464345,74%,99.74435923085473,85.95087251,92.85
103,Olanda Street,residential,15,3227,3209,71.92203279400587,71.28269168121487,99%,89.84105813048794,95.85417361,92.85
104,Orr and Day Road,tertiary,28,5089,4811,48.798744419875916,65.17516309,95%,92.20851394909414,93.46448816,92.84
105,Leimert Boulevard,primary,21,15403,12917,86.31509746994598,88.06999005989124,84%,96.17650327887074,89.36312104034678,92.77
106,Freeman Avenue,residential,29,6495,5957,68.01255864,76.08777366622952,92%,93.28665110592421,92.21962876514394,92.75
107,"['North Long Beach Boulevard', 'Long Beach Boulevard']",primary,2,4500,4294,89.67711352606565,91.96031057,95%,91.47493608980771,93.99799933311104,92.74
108,East Avenue J 8,residential,12,9780,8556,72.20549295421704,94.77371634772004,87%,94.72046237634767,90.65243970212293,92.69
109,South Alameda Street,primary,215,336661,244255,81.11985222514103,90.19949130031658,73%,99.78881849505392,85.56185395,92.68
110,Olanda Street,tertiary,6,3108,3090,78.37472957,93.58006799,99%,89.50761364899411,95.83194398,92.67
111,East Hardy Street,residential,20,13192,11127,78.80428427040438,90.92954635,84%,95.73191063687896,89.56318772924308,92.65
112,West McKinley Avenue,secondary,34,8504,7500,54.71515790425361,85.05663356081425,88%,94.27586973,90.98588418361676,92.63
113,South Montebello Boulevard,tertiary,20,10700,9225,82.00554223710918,93.77364952,86%,95.04279204179171,90.21896187618094,92.63
114,North La Brea Avenue,primary,83,58127,44248,67.29612386,87.71362880793873,76%,98.48838501722797,86.76225408,92.63
115,Sunkist Avenue,residential,18,5600,5195,64.16364565322107,87.26914306,93%,92.65310659108592,92.58641769478714,92.62
116,Cedar Avenue,residential,33,9770,8516,57.77470529615171,68.28332651169008,87%,94.69823274424807,90.51906191,92.61
117,West Hyde Park Boulevard,tertiary,10,4196,4021,86.93688030939633,87.37021475646733,96%,90.99699899966656,94.22029565410692,92.61
118,East Market Street,tertiary,42,5402,5034,70.32632911664294,84.94616470509618,93%,92.43081027009002,92.74202511948427,92.59
119,South Greenwood Avenue,tertiary,42,19271,15726,67.23770582767217,80.05066114252779,82%,96.60998110481272,88.55173946871179,92.58
120,California Avenue,secondary,36,62766,47339,87.20497553025514,92.53844483,75%,98.62176281,86.52884294764922,92.58
121,Ramona Boulevard,tertiary,6,3496,3398,85.12930494415998,93.05361811605704,97%,90.11892853,94.99833277759254,92.56
122,South Figueroa Street,secondary,173,26999,21489,67.67544060194753,74.05903088,80%,97.31021451594975,87.80704679337556,92.56
123,Ocean Gate Avenue,residential,34,26479,21050,82.13674504,93.38920119949547,79%,97.24352562,87.79593197732578,92.52
124,Carlyle Street,residential,8,5466,5056,81.32194049299598,92.76293258267414,92%,92.48638435,92.48638435,92.49
125,Empire Avenue,secondary,42,71856,53699,84.04237155,91.74689058,75%,98.81071468267201,86.08425030565743,92.45
126,East Gage Avenue,secondary,255,101821,75050,71.57963052407744,82.71298144791467,74%,99.12192953206625,85.76192064,92.44
127,East Caldwell Street,residential,16,3112,3050,62.00745821395458,83.59652347,98%,89.43536734467045,95.39846615538514,92.42
128,"['South Central Avenue', 'North Central Avenue']",primary,2,5542,5093,91.16405773616111,92.56240759457721,92%,92.55863065466266,92.26408802934311,92.41
129,"['Whitaker Avenue', 'Cantlay Street']",residential,1,2182,2182,96.03335365904591,96.03335365904591,100%,86.80671334889408,97.98821829498722,92.40
130,Queen Anne Place,residential,12,4696,4407,71.40743030090408,92.26947718369156,94%,91.67500277870401,93.11992886517729,92.40
131,Common Street,residential,6,6654,5949,78.89042491876675,95.71823550540024,89%,93.24219184172502,91.53606757808159,92.39
132,Tujunga Avenue,tertiary,97,34177,26352,68.68281244712078,86.92040395265502,77%,97.66588862954319,87.09569856618873,92.38
133,Stewart Avenue,tertiary,16,6327,5671,69.15925944101507,93.59009163276728,90%,93.08658442,91.66388796265423,92.38
134,South Main Street,secondary,202,13796,11371,62.09155738322481,67.97823199712656,82%,95.83194398,88.91852839835501,92.38
135,Cato Street,residential,6,3633,3492,76.81939490632074,93.96743988,96%,90.28565077247973,94.45926419917751,92.37
136,Firestone Boulevard,primary,262,283494,200245,83.32900564416323,89.44782278206102,71%,99.71101478270535,85.00611315,92.36
137,Taddy Street,residential,14,3955,3772,80.83647268,87.5598286,95%,90.74135823052129,93.94242525286207,92.34
138,Bellinger Street,residential,12,11017,9297,85.20723177716336,94.86100554,84%,95.10948093809047,89.57430254529287,92.34
139,Stillman Street,residential,4,3562,3428,77.98349440764468,95.38808189,96%,90.14115816383239,94.49816605535179,92.32
140,Hart Street,tertiary,31,10319,8748,65.53408077705836,92.04363206562141,85%,94.82049572079582,89.81882849838834,92.32
141,West Pacific Avenue,tertiary,28,13931,11451,78.96814541197753,87.80979309538327,82%,95.8430588,88.78515060575748,92.31
142,Atlantic Boulevard,primary,40,115986,83413,78.89856912552102,92.60495585422288,72%,99.15527398021563,85.36178726,92.26
143,South Wadsworth Avenue,residential,8,10504,8868,86.11125612903766,94.50104204081293,84%,94.88718461709459,89.62987662554185,92.26
144,West Hillcrest Boulevard,tertiary,22,2829,2789,70.97416103279933,74.60928690160964,99%,88.79626542180728,95.66522174,92.23
145,Glenraven Road,residential,20,4849,4506,52.986940033579195,87.96891836581271,93%,91.76392130710236,92.68645104,92.23
146,Ramona Avenue,tertiary,14,5837,5241,73.88220016491273,76.47932206787674,90%,92.68645104,91.73057685895299,92.21
147,Cedros Avenue,tertiary,25,3687,3522,70.96488385108213,86.75021091407235,96%,90.35233966877848,94.05357341336001,92.20
148,State Street,tertiary,31,3296,3176,74.29032231,81.41366723188854,96%,89.77992664221406,94.60931421584972,92.19
149,North Ravenna Avenue,residential,12,3466,3326,69.87579736656727,89.09219242045825,96%,90.04112481938424,94.34255863065466,92.19
150,North San Fernando Road,primary,61,55793,41344,80.21916988110075,93.29293249914382,74%,98.39946648882962,85.92864288096031,92.16
151,Wright Road,residential,12,2876,2821,72.42923241199384,73.92292865674884,98%,88.89629876625543,95.40958097143492,92.15
152,North Vernon Avenue,tertiary,7,6301,5592,84.49331101,93.68991037196054,89%,92.99766588862954,91.20818050461264,92.10
153,Downey Avenue,secondary,221,83626,59761,66.97744703884429,82.32999490465014,71%,98.89963321107035,85.23952428587307,92.07
154,Broadway,residential,11,3278,3150,76.52387790296358,92.15462298587502,96%,89.71879515,94.40924752695344,92.06
155,Telfair Avenue,residential,51,17420,13813,71.23614809238848,69.47446895595446,79%,96.38212737579192,87.7403579,92.06
156,Denker Avenue,residential,30,5639,5052,66.08056221477874,71.54831811689235,90%,92.46415471823941,91.64165833055463,92.05
157,Ramona Boulevard,primary,96,21962,17063,74.64186807916447,80.65771778444164,78%,96.85450706,87.25130599088585,92.05
158,East 213th Street,tertiary,46,8360,7153,73.79113459967729,85.35191326,86%,94.06468823,90.03001000333445,92.05
159,Bullis Road,tertiary,64,3930,3714,70.16806432043904,76.04679160019045,95%,90.63021007002334,93.40891408247194,92.02
160,Arbor Vitae Street,tertiary,51,13283,10796,66.90683273150553,77.89704052056099,81%,95.60964766033122,88.42947649216406,92.02
161,South Glendale Avenue,secondary,56,57980,42164,81.23475571556254,90.95115981857214,73%,98.43281094,85.58408358341669,92.01
162,North Rowan Avenue,residential,16,5097,4645,74.92959959738383,88.22472998822222,91%,91.97510281204846,92.04179170834723,92.01
163,Bridgewater Way,residential,12,15954,12708,85.35640301711537,95.48351529022612,80%,96.13204401467156,87.87373568967433,92.00
164,147th Street,residential,10,3046,2953,67.04505208115806,85.43915024599681,97%,89.19639879959986,94.79826608869624,92.00
165,Eastern Avenue,secondary,32,44871,33228,71.73080577528673,72.08374750453152,74%,98.02156274,85.90641324886073,91.96
